Date,BTC,LTC,ETH,BCH,NEO,DASH,XRP,dr_BTC,dr_LTC,dr_ETH,dr_BCH,dr_NEO,dr_DASH,dr_XRP
2020-03-13,5431.41,35.94,128.86,172.89,6.017,49.398,0.15359,-0.05840368912851279,0.09206927985414781,0.008609893550407088,0.016222888379474387,-0.0482442265105979,-0.021007570652820107,-0.011329256517540909
2020-03-14,5288.68,35.09,126.42,170.03,5.961,46.93,0.15062,-0.0262786274650596,-0.023650528658875736,-0.018935278596927008,-0.01654231013939489,-0.00930696360312444,-0.04996153690432814,-0.019337196432059334
2020-03-15,5918.52,38.51,132.89,191.26,6.411,50.565,0.16353,0.11909209859549086,0.09746366486178393,0.05117861097927534,0.12486031876727632,0.07549068948163051,0.0774557852120179,0.08571238879298892
2020-03-16,4926.3,31.95,109.31,166.35,5.241,42.244,0.13838,-0.16764664139007723,-0.17034536484030116,-0.17743998795996674,-0.130241555997072,-0.18249883013570423,-0.16456046672599622,-0.15379441081147194
2020-03-17,5464.67,35.0,119.06,186.64,5.764,46.389,0.14878,0.10928485881899186,0.09546165884194058,0.08919586497118281,0.12197174631800412,0.09979011639000213,0.09812044313985435,0.07515536927301625
2020-03-18,5341.9,34.17,116.4,181.25,5.601,56.334,0.14612,-0.022466132447156117,-0.023714285714285688,-0.022341676465647553,-0.02887912558936989,-0.028278972935461555,0.21438272004138903,-0.017878747143433182
2020-03-19,6253.5,39.73,137.3,225.3,6.472,67.302,0.16464,0.1706508920047174,0.1627158326016973,0.17955326460481102,0.24303448275862083,0.1555079450098198,0.1946959207583343,0.12674514098001644
2020-03-20,5991.49,36.12,125.24,201.42,6.127,66.211,0.15188,-0.041898137043255845,-0.09086332746035741,-0.08783685360524407,-0.10599201065246344,-0.05330655129789874,-0.016210513803453175,-0.07750242954324604
2020-03-21,6334.6,39.23,135.55,201.42,6.336,73.738,0.15998,0.057266222592377014,0.08610188261351048,0.08232194187160657,0.0,0.034111310592459754,0.1136820165833472,0.053331577561232635
2020-03-22,6020.88,35.69,124.27,203.63,5.94,64.248,0.151,-0.0495248318757302,-0.0902370634718328,-0.08321652526742906,0.010972098103465333,-0.0625,-0.12869890694079034,-0.0561320165020629
2020-03-23,6419.3,38.96,132.5,219.43,6.533,69.637,0.15819,0.06617305111545146,0.09162230316615316,0.06622676430353258,0.0775917104552375,0.09983164983164983,0.0838780973726807,0.047615894039735096
2020-03-24,6751.94,40.26,139.9,226.6,6.868,69.375,0.16262,0.051818734129889465,0.033367556468172355,0.055849056603773706,0.03267556851843412,0.051278126435022164,-0.003762367706822478,0.02800429862823184
